Nocturna (night-active)
Diurna (day-active)
Migrans (migratory)
Sedentaria (stationary)
Fugax (fleeting)
Socialis (social)
Solitaria (solitary)
Rapax (predatory)
Herbora (plant-eating)
Carnifex (flesh-eating)
Scavens (scavenging)
Symbiota (symbiotic)
Parasitus (parasitic)
Luminans (bioluminescent)
Fossor (burrowing)
Volitans (flying)
Natans (swimming)
Repens (crawling)
Saltans (jumping)
Sonorus (loud)
Silens (silent)
Venenata (venomous)
Toxica (toxic)
Defensa (defensive)
Camouflara (camouflaged)
Mimicus (mimicking)
Hibernans (hibernating)
Aestiva (summer-active)
Hiemalis (winter-dormant)
Arborea (tree-living)
Fossilis (fossilized)
Ambulans (walking)
Pendula (hanging)
Fluitans (floating)
Radicans (rooting)
Effugiens (escaping)
Aggressa (aggressive)
Placida (peaceful)
Territorialis (territorial)
Gregaria (gregarious)
Nomadica (nomadic)
Lenta (slow)
Celerima (very fast)
Resiliens (resilient)
Fragrans (fragrant)
Fetida (foul-smelling)
Pollinans (pollinating)
Saprophis (decomposing)
Endemica (endemic)
Invasora (invasive)
