Velox (swift)
Magnus (large)
Parvus (small)
Ferox (fierce)
Gravis (heavy)
Levis (light)
Acutus (sharp)
Robustus (strong)
Fragilis (fragile)
Luridus (pale)
Vibrans (vibrant)
Serenus (calm)
Celeris (fast)
Opacus (shaded)
Pallidus (pale)
Ater (dark)
Clarus (bright)
Durus (hard)
Mollis (soft)
Rarus (rare)
Communis (common)
Silentis (quiet)
Audax (bold)
Alatus (winged)
Spinosus (spiny)
Laevis (smooth)
Hirsutus (hairy)
Glaber (hairless)
Floridus (flowery)
Aeneus (bronze)
Argenteus (silver)
Aureus (golden)
Ferrugineus (rusty)
Viridis (green)
Caeruleus (blue)
Rufus (red)
Niger (black)
Albus (white)
Purpureus (purple)
Cinereus (gray)
Luminosus (glowing)
Radians (radiant)
Volans (flying)
Natans (swimming)
Repens (creeping)
Erectus (upright)
Pendulus (hanging)
Flexilis (flexible)
Rotundus (round)
Angustus (narrow)
