Borealis (northern)
Australis (southern)
Orientalis (eastern)
Occidentalis (western)
Montanus (mountain)
Fluvialis (river)
Campestris (plains)
Desertus (desert)
Maritimus (coastal)
Lacustris (lake)
Arboreus (tree-dwelling)
Subterraneus (underground)
Alpinus (alpine)
Tropicalis (tropical)
Polarus (polar)
Littoralis (shore)
Saxatilis (rocky)
Palustris (marshy)
Sylvestris (forest)
Arenosus (sandy)
Glacialis (icy)
Volcanicus (volcanic)
Cavernis (cave)
Pratensis (meadow)
Urbanus (urban)
Insularis (island)
Riparius (riverbank)
Nemoralis (woodland)
Limosus (muddy)
Aethalis (high-altitude)
Eremitus (isolated)
Litoralis (coastal)
Pelagicus (open sea)
Tundralis (tundra)
Savannus (savanna)
Mangrova (mangrove)
Deltanus (delta)
Oasensis (oasis)
Canyonis (canyon)
Steppus (steppe)
Taiganus (taiga)
Fennalis (fen)
Crateris (crater)
Oreadis (mountain nymph)
Vallicola (valley)
Torridus (hot/dry)
Frigidus (cold)
Humidus (humid)
Aridus (arid)
Pluvius (rainy)
